lift_from_version	lift_from_property	lift_to_version	lift_to_property	lift_from_concept	lift_to_concept	concept_relationship
v5.0.0	Physician	v5.0.2	Physician	C25741	C25741	Concept Code Match
v5.0.0	Referring Physician	v5.0.2	Referring Physician	C51860	C51860	Concept Code Match
v5.0.0	Social Worker	v5.0.2	Social Worker	C28190	C28190	Concept Code Match
v5.0.0	Data Manager	v5.0.2	Data Manager	C51820	C51820	Concept Code Match
v5.0.0	Investigator	v5.0.2	Investigator	C25936	C25936	Concept Code Match
v5.0.0	Associate	v5.0.2	Associate	C51802	C51802	Concept Code Match
v5.0.0	Agent Expert	v5.0.2	Agent Expert	C51800	C51800	Concept Code Match
v5.0.0	Mail Contact	v5.0.2	Mail Contact	C51834	C51834	Concept Code Match
v5.0.0	Mail Contact	v5.0.2	Mail Contact	C51834	C51834	Concept Code Match
v5.0.0	Protocol Chair at an Organization	v5.0.2	Protocol Chair at an Organization	C51855	C51855	Concept Code Match
v5.0.0	Employee	v5.0.2	Employee	C51823	C51823	Concept Code Match
v5.0.0	Site Investigator	v5.0.2	Site Investigator	C51873	C51873	Concept Code Match
v5.0.0	Checklist Completer	v5.0.2	Checklist Completer	C51809	C51809	Concept Code Match
v5.0.0	Checklist Supervisor	v5.0.2	Checklist Supervisor	C51810	C51810	Concept Code Match
v5.0.0	Primary Shipping Designee	v5.0.2	Primary Shipping Designee	C51848	C51848	Concept Code Match
v5.0.0	Program Director	v5.0.2	Program Director	C51849	C51849	Concept Code Match
v5.0.0	Drug Company Contact	v5.0.2	Drug Company Contact	C51822	C51822	Concept Code Match
v5.0.0	Protocol Specialist	v5.0.2	Protocol Specialist	C51858	C51858	Concept Code Match
v5.0.0	Shipping Designee	v5.0.2	Shipping Designee	C51871	C51871	Concept Code Match
v5.0.0	Branch Chief	v5.0.2	Branch Chief	C51805	C51805	Concept Code Match
v5.0.0	Participant Chief	v5.0.2	Participant Chief	C51838	C51838	Concept Code Match
v5.0.0	Address Module Coordinator	v5.0.2	Address Module Coordinator	C51796	C51796	Concept Code Match
v5.0.0	Registration Coordinator	v5.0.2	Registration Coordinator	C51861	C51861	Concept Code Match
v5.0.0	CDU Web Contact	v5.0.2	CDU Web Contact	C51806	C51806	Concept Code Match
v5.0.0	Agent Inspector	v5.0.2	Agent Inspector	C51801	C51801	Concept Code Match
v5.0.0	CEP Member	v5.0.2	CEP Member	C51808	C51808	Concept Code Match
v5.0.0	Adverse Event Coordinator	v5.0.2	Adverse Event Coordinator	C51799	C51799	Concept Code Match
v5.0.0	Account Administrator	v5.0.2	Account Administrator	C51795	C51795	Concept Code Match
v5.0.0	AdEERS Contact	v5.0.2	AdEERS Contact	C51797	C51797	Concept Code Match
v5.0.0	Group Coordinator	v5.0.2	Group Coordinator	C51827	C51827	Concept Code Match
v5.0.0	Division Head	v5.0.2	Division Head	C51821	C51821	Concept Code Match
v5.0.0	Primary CDUS Contact	v5.0.2	Primary CDUS Contact	C51847	C51847	Concept Code Match
v5.0.0	Secondary CDUS Contact	v5.0.2	Secondary CDUS Contact	C51870	C51870	Concept Code Match
v5.0.0	Grant Investigator	v5.0.2	Grant Investigator	C51825	C51825	Concept Code Match
v5.0.0	PMB Drug Company Contact	v5.0.2	PMB Drug Company Contact	C51843	C51843	Concept Code Match
v5.0.0	Principal Investigator	v5.0.2	Principal Investigator	C19924	C19924	Concept Code Match
v5.0.0	Principal Investigator	v5.0.2	Principal Investigator	C19924	C19924	Concept Code Match
v5.0.0	Principal Investigator	v5.0.2	Principal Investigator	C19924	C19924	Concept Code Match
v5.0.0	Mail to Contact	v5.0.2	Mail to Contact	C51835	C51835	Concept Code Match
v5.0.0	Clinical Research Associate	v5.0.2	Clinical Research Associate	C25465	C25465	Concept Code Match
v5.0.0	Concept Review Chair	v5.0.2	Concept Review Chair	C51814	C51814	Concept Code Match
v5.0.0	Co-Project Officer	v5.0.2	Co-Project Officer	C51819	C51819	Concept Code Match
v5.0.0	Contract Officer	v5.0.2	Contract Officer	C51816	C51816	Concept Code Match
